状态码,请求方式,REST_代码,含义
200 OK,GET,HTTP_200_OK,"服务器成功返回用户请求的数据, 该操作是幂等的(Idempotent)"
201 CREATED,POST/PUT/PATCH,HTTP_201_CREATED,请求已完成，并导致创建新资源
202 Accepted,*,HTTP_202_ACCEPTED,表示一个请求已经进入后台排队(异步任务)
203 NON AUTHORITATIVE INFORMATION,,HTTP_203_NON_AUTHORITATIVE_INFORMATION,非权威信息
204 NO CONTENT,DELETE,HTTP_204_NO_CONTENT,用户删除数据成功
205 RESET CONTENT,,HTTP_205_RESET_CONTENT,重置内容
206 PARTIAL CONTENT,,HTTP_206_PARTIAL_CONTENT,服务器已完成对资源的部分GET请求。部分内容
207 MULTI STATUS,,HTTP_207_MULTI_STATUS,多状态；由WebDAV(RFC 2518)扩展的状态码，代表之后的消息体将是一个XML消息，并且可能依照之前子请求数量的不同，包含一系列独立的响应代码
300 MULTIPLE CHOICES,,HTTP_300_MULTIPLE_CHOICES,请求的资源具有多种选择
301 MOVED PERMANENTLY,,HTTP_301_MOVED_PERMANENTLY,已为所请求的资源分配了一个新的永久URI；永久移动
302 FOUND,,HTTP_302_FOUND,请求的网页被转移到一个新的地址，但客户访问仍继续通过原始URL地址，重定向，新的URL会在response中的Location中返回，浏览器将会使用新的URL发出新的Request
303 SEE OTHER,,HTTP_303_SEE_OTHER,可以在不同的URI下找到对请求的响应，并且应该使用该资源上的GET方法检索
304 NOT MODIFIE,,HTTP_304_NOT_MODIFIE,如果客户端已执行条件GET请求并允许访问，但文档尚未修改，则服务器应该响应此状态代码
305 USE PROXY,,HTTP_305_USE_PROXY,使用代理。必须通过Location字段给出的代理访问所请求的资源
306 RESERVED,,HTTP_306_RESERVED,306状态代码在规范的先前版本中使用，不再使用，并且代码被保留
307 TEMPORARY REDIRECT,,HTTP_307_TEMPORARY_REDIRECT,临时重定向。请求的资源暂时驻留在不同的URI下
400 INVALID REQUEST,POST/PUT/PATCH,HTTP_400_BAD_REQUEST,"用户发出的请求有错误, 服务器没有进行新建或修改数据的操作, 该操作是幂等的"
401 Unauthorized,*,HTTP_401_UNAUTHORIZED,表示用户没有权限(令牌、用户名、密码错误)
403 Forbidden,*,HTTP_403_FORBIDDEN,"表示用户得到授权(与401错误相对), 但是访问是被禁止的"
404 NOT FOUND,*,HTTP_404_NOT_FOUND,"用户发出的请求针对的是不存在的记录, 服务器没有进行操作, 该操作是幂等的"
405 METHOD NOT ALLOWED,,HTTP_405_METHOD_NOT_ALLOWED,客户端请求中的方法被禁止
406 Not Acceptable,GET,HTTP_406_NOT_ACCEPTABLE,"用户请求的格式不可得(比如用户请求JSON格式, 但是只有XML格式)"
